5_cc,10_cc,20_cc,50_cc,100_cc,Method,Joint
0.1177500743230686,0.3391725029937343,0.375247392185722,0.445189724148433,0.5632797011803621,NN,Joint 1
0.7740210460711044,0.8250464942266775,0.8221515827089922,0.8788165501840979,0.9013525025228442,NN,Joint 2
0.7621058849770637,0.8170711693350273,0.783631282792485,0.8278872249383551,0.8736261296845318,NN,Joint 3
0.3425768347602022,0.2757828654230674,0.4138295408062925,0.496673606990354,0.5347041048310179,NN,Joint 4
0.4441584727620795,0.6800076397282504,0.517038739058892,0.6425871677517042,0.7695658455289376,NN,Joint 5
0.1744875230751845,0.4548408487968501,0.4088772539555238,0.7446084394653725,0.6431599735268705,NN,Joint 6
0.8935644409571599,0.8930297706839887,0.9655618752992264,0.8814501679578275,0.9229906731124288,PA,Joint 1
0.9416068272791148,0.9584458587726252,0.9891563877140244,0.9742764700165554,0.9910668771506436,PA,Joint 2
0.9661353044681856,0.948246375273934,0.9934849123072084,0.9790977364324256,0.9914151171806088,PA,Joint 3
0.5246762275693104,0.7634404698669586,0.8378842007576308,0.4911973372703028,0.7316221798145912,PA,Joint 4
0.6776340058403632,0.8854819543407091,0.9697046010767336,0.8086796006092155,0.9002954687577049,PA,Joint 5
0.8686168106637924,0.906906967967268,0.9300614881253962,0.9011662698505364,0.8675280519330262,PA,Joint 6
-0.2655101889800941,-0.0364158680416909,0.046870322014357,0.2403356315977515,0.2831978393269404,PG,Joint 1
0.6964859736741286,0.8210271102852016,0.8660321491123835,0.884101644097288,0.91585920192203,PG,Joint 2
0.6039170653317345,0.8452326665766472,0.8169053726850252,0.8824857041579908,0.9122534457194296,PG,Joint 3
0.2780232262653943,0.272082857908797,0.4392507838558787,0.4542948119274541,0.1095086388978449,PG,Joint 4
0.2083766235024867,0.7187535795869746,0.7301544065925094,0.7304220564144857,0.6353706344858079,PG,Joint 5
-0.1248256650700337,0.4075702349967179,0.3632156441566732,0.6060189633864344,0.4073442706705111,PG,Joint 6
